STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
District of Columbia,http://doh.dc.gov/page/influenza-season,"Influenza Information",Level 0,Insufficient Data,Oct-17-2015,41,2015-16
Virgin Islands,http://doh.vi.gov/,"Influenza",Level 0,Insufficient Data,Oct-17-2015,41,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,"Influenza Information",Level 0,Insufficient Data,Oct-24-2015,42,2015-16
Virgin Islands,http://doh.vi.gov/,"Influenza",Level 0,Insufficient Data,Oct-24-2015,42,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,"Influenza Information",Level 0,Insufficient Data,Oct-31-2015,43,2015-16
Virgin Islands,http://doh.vi.gov/,"Influenza",Level 0,Insufficient Data,Oct-31-2015,43,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,"Influenza Information",Level 0,Insufficient Data,Nov-07-2015,44,2015-16
Virgin Islands,http://doh.vi.gov/,"Influenza",Level 0,Insufficient Data,Nov-07-2015,44,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,"Influenza Information",Level 0,Insufficient Data,Nov-14-2015,45,2015-16
Virgin Islands,http://doh.vi.gov/,"Influenza",Level 0,Insufficient Data,Nov-14-2015,45,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,"Influenza Information",Level 0,Insufficient Data,Nov-21-2015,46,2015-16
Virgin Islands,http://doh.vi.gov/,"Influenza",Level 0,Insufficient Data,Nov-21-2015,46,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,"Influenza Information",Level 0,Insufficient Data,Nov-28-2015,47,2015-16
Virgin Islands,http://doh.vi.gov/,"Influenza",Level 0,Insufficient Data,Nov-28-2015,47,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,"Influenza Information",Level 0,Insufficient Data,Dec-05-2015,48,2015-16
Virgin Islands,http://doh.vi.gov/,"Influenza",Level 0,Insufficient Data,Dec-05-2015,48,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,"Influenza Information",Level 0,Insufficient Data,Dec-12-2015,49,2015-16
Virgin Islands,http://doh.vi.gov/,"Influenza",Level 0,Insufficient Data,Dec-12-2015,49,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,"Influenza Information",Level 0,Insufficient Data,Dec-19-2015,50,2015-16
Virgin Islands,http://doh.vi.gov/,"Influenza",Level 0,Insufficient Data,Dec-19-2015,50,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,"Influenza Information",Level 0,Insufficient Data,Dec-26-2015,51,2015-16
Virgin Islands,http://doh.vi.gov/,"Influenza",Level 0,Insufficient Data,Dec-26-2015,51,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,"Influenza Information",Level 0,Insufficient Data,Jan-02-2016,52,2015-16
Virgin Islands,http://doh.vi.gov/,"Influenza",Level 0,Insufficient Data,Jan-02-2016,52,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,"Influenza Information",Level 0,Insufficient Data,Jan-09-2016,1,2015-16
Virgin Islands,http://doh.vi.gov/,"Influenza",Level 0,Insufficient Data,Jan-09-2016,1,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,"Influenza Information",Level 0,Insufficient Data,Jan-16-2016,2,2015-16
Virgin Islands,http://doh.vi.gov/,"Influenza",Level 0,Insufficient Data,Jan-16-2016,2,2015-16
